index	name	Abeta+nvoxels	Abeta+stain	Abeta+count	Abeta+fieldfrac	Abeta+volume	Abeta+density	Iba1+nvoxels	Iba1+stain	Iba1+count	Iba1+fieldfrac	Iba1+volume	Iba1+density	coloc+object_id_a	coloc+object_id_b	coloc+stain_a	coloc+stain_b	coloc+radius_a	coloc+radius_b	coloc+nvoxels_a	coloc+nvoxels_b	coloc+distance	coloc+overlapratio	coloc+count	coloc+volume	coloc+density	participant_id	batch_id	bag_id	participant_label	sex	treatment	age	genotype	antibodies	has_mri	notes	QC_notes
7	L_Cortical subplate	52534.0	Abeta	115.0	6.809580792094495	4.933749397904665	23.30884500312072	2114540.0	Iba1	1.0	28.436462595537712	4.933749397904665	0.2026856087227888	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.933749397904665	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
8	R_Cortical subplate	35885.0	Abeta	96.0	6.30015858894519	4.9236556467238985	19.49770798123879	0.0	0	0.0	28.579507213863	4.9236556467238985	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9236556467238985	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
9	L_Striatum	189711.0	Abeta	301.0	5.037057224892137	24.80739323215726	12.133479611627251	3999825.0	Iba1	2.0	32.524758556096366	24.80739323215726	0.0806211269875565	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.80739323215726	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
10	R_Striatum	203789.0	Abeta	265.0	4.026952341585144	24.879763523642	10.651226638395643	3205675.0	Iba1	1.0	33.05339181555137	24.879763523642	0.0401933080694175	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.879763523642	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
11	L_Pallidum	151873.0	Abeta	66.0	5.50027659966808	5.164001193707443	12.780787130805438	0.0	0	0.0	32.531735201917755	5.164001193707443	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.164001193707443	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
12	R_Pallidum	44094.0	Abeta	70.0	4.445260250072695	5.239609103495451	13.359775246077335	0.0	0	0.0	31.73709653969177	5.239609103495451	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.239609103495451	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
13	L_Thalamus	26775.0	Abeta	61.0	2.5616968993703177	11.160451187624924	5.465728846844365	758.0	Iba1	3.0	30.65956212351325	11.160451187624924	0.2688063367300507	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.160451187624924	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
14	R_Thalamus	20529.0	Abeta	52.0	2.462766404817575	11.321951206517197	4.59284791565499	295.0	Iba1	1.0	31.78388198287608	11.321951206517197	0.0883239983779805	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.321951206517197	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
15	L_Hypothalamus	66104.0	Abeta	83.0	3.929428850212168	8.392858882739933	9.889359652012145	3783680.0	Iba1	1.0	32.992284826068214	8.392858882739933	0.1191489114700258	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.392858882739933	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
16	R_Hypothalamus	92316.0	Abeta	80.0	3.891839116577637	8.485226228450724	9.428151689316456	0.0	0	0.0	32.49326659783633	8.485226228450724	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.485226228450724	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
17	L_Midbrain	413773.0	Abeta	186.0	4.367978958085865	20.20159552355977	9.20719354979069	5597795.0	Iba1	2.0	30.75913984576805	20.20159552355977	0.099002081180545	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.20159552355977	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
18	R_Midbrain	94662.0	Abeta	183.0	4.048381860512573	20.532023038628274	8.91290642211485	535.0	Iba1	2.0	30.855160515355863	20.532023038628274	0.0974088133564464	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.532023038628274	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
19	L_Pons	37201.0	Abeta	66.0	2.274419183022113	9.189312985343088	7.182256182292376	2644884.0	Iba1	1.0	27.96190752523264	9.189312985343088	0.1088220633680663	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.189312985343088	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
